	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-892a	0	0.708640883476762	0.391316529679794	1.17173375115797	0.556845863040216	0.947312878602802	1.65665184611519
hsa-miR-4684-3p	0	0.708640883476762	0.0559023613828276	0.175760062673695	0.35435645829832	0	0
hsa-miR-448	0	0.708640883476762	0	0	2.58173991045919	0.315770959534267	1.51259516384431
hsa-miR-6780a-5p	0	0.708640883476762	0.167707084148483	0.468693500463186	0.202489404741897	1.15782685162565	1.29651014043798
hsa-miR-5708	0	0.708640883476762	0	0.292933437789491	0	0	0
hsa-miR-4665-5p	0	0.708640883476762	0	1.64042725162115	0.253111755927371	0.526284932557112	2.23287857519874
hsa-miR-4762-3p	0	0.708640883476762	0.111804722765655	0	0	0	0
hsa-miR-4638-5p	0	0.708640883476762	0.111804722765655	0.234346750231593	0	0	0
hsa-miR-376b-3p	0	0.708640883476762	0	0.117173375115797	0.35435645829832	0.105256986511422	0
hsa-miR-551b-5p	0	0.708640883476762	0.279511806914138	0.35152012534739	0.253111755927371	0	1.29651014043798
hsa-miR-134-3p	0	0.708640883476762	0.726730697976759	0.234346750231593	1.06306937489496	0.42102794604569	0
hsa-miR-6720-3p	0	0.708640883476762	0	0	0	0	0
hsa-miR-2277-3p	0	0.708640883476762	0.223609445531311	0.234346750231593	0	0.105256986511422	1.00839677589621
hsa-miR-449a	0	0.708640883476762	0.279511806914138	0.380813469126339	0.809957618967588	0	0
hsa-miR-6815-3p	0	0.708640883476762	0.223609445531311	0.234346750231593	0	0	0
hsa-miR-548b-5p	0	0.708640883476762	1.28575431180504	0.820213625810576	1.16431407726591	2.84193863580841	0.576226729083546
hsa-miR-3941	0	0.708640883476762	0	0	0	0	0.21608502340633
hsa-miR-548ab	0	0.708640883476762	0.307462987605552	0.175760062673695	0.0506223511854742	0.210513973022845	0.21608502340633
hsa-miR-6770-3p	0	0.708640883476762	0.167707084148483	0.35152012534739	0	0.842055892091379	0.144056682270886
hsa-miR-659-5p	0	0.708640883476762	0.670828336593932	0.35152012534739	0.556845863040216	0.842055892091379	0.936368434760762
hsa-miR-216b-3p	0	0.708640883476762	0.614925975211104	1.05456037604217	1.21493642845138	1.68411178418276	1.72868018725064
hsa-miR-6841-5p	0	0.708640883476762	0.167707084148483	2.46064087743173	0.911202321338536	1.05256986511422	0.936368434760762
hsa-let-7f-1	0	0.531480662607572	0	0.0292933437789491	0.101244702370948	0.157885479767134	0.108042511703165
hsa-miR-4791	0	0.354320441738381	0.279511806914138	0.703040250694779	0	0.42102794604569	0.0720283411354432
hsa-miR-890	0	0.354320441738381	0.111804722765655	0	0.0506223511854742	0.210513973022845	0.21608502340633
hsa-miR-6826-5p	0	0.354320441738381	0.111804722765655	0.175760062673695	0	0.842055892091379	0.432170046812659
hsa-miR-4536-3p	0	0.354320441738381	0	0	0.303734107112845	0.210513973022845	0
hsa-miR-6738-3p	0	0.354320441738381	0	0.644453563136881	0.151867053556423	0	0
hsa-miR-6894-3p	0	0.354320441738381	0.167707084148483	0.117173375115797	0	0.210513973022845	0.648255070218989
hsa-miR-767-3p	0	0.354320441738381	0.0559023613828276	0	0	1.05256986511422	0.576226729083546
hsa-miR-6881-3p	0	0.354320441738381	0.0559023613828276	0.175760062673695	0.35435645829832	0	0.21608502340633
hsa-miR-1283	0	0.354320441738381	0	0	0.911202321338536	0.315770959534267	0.576226729083546
hsa-miR-4773	0	0.354320441738381	0.279511806914138	0.35152012534739	1.46804818437875	0.526284932557112	1.08042511703165
hsa-miR-6862-3p	0	0.354320441738381	0	0	0	0.42102794604569	0
hsa-miR-5588-5p	0	0.354320441738381	0.0559023613828276	1.05456037604217	0.35435645829832	0.315770959534267	0.648255070218989
hsa-miR-3128	0	0.354320441738381	0	0.117173375115797	0	0.315770959534267	0
hsa-miR-1288-3p	0	0.354320441738381	0.167707084148483	0.410106812905288	0	0.315770959534267	0.720283411354432
hsa-miR-4491	0	0.354320441738381	0.223609445531311	0.234346750231593	0	0.210513973022845	0
hsa-miR-129-1-3p	0	0.354320441738381	0.335414168296966	0.995973688484271	1.3668034820078	1.05256986511422	1.15245345816709
hsa-miR-3115	0	0.354320441738381	0.0559023613828276	0	0	0	0.21608502340633
hsa-miR-4635	0	0.354320441738381	0	0	0	0	0.432170046812659
hsa-miR-153-5p	0	0.354320441738381	0.167707084148483	0.468693500463186	0.35435645829832	0.105256986511422	0
hsa-miR-3117-3p	0	0.354320441738381	0	0.527280188021085	0	0.947312878602802	0.21608502340633
hsa-miR-500b-3p	0	0.354320441738381	0.111804722765655	0.937387000926373	0.455601160669268	0.842055892091379	0.648255070218989
hsa-miR-152-5p	0	0.354320441738381	0.559023613828276	0	0.253111755927371	0.105256986511422	0
hsa-miR-3152-3p	0	0.354320441738381	0.111804722765655	0.761626938252678	0.253111755927371	0	1.36853848157342
hsa-miR-1227-3p	0	0.354320441738381	0	0.937387000926373	0.708712916596639	0.210513973022845	0.432170046812659
hsa-miR-5189-5p	0	0.354320441738381	0.0559023613828276	0	0	0	0
hsa-miR-6788-5p	0	0.354320441738381	0.0559023613828276	0.585866875578983	0.202489404741897	0	0.648255070218989
hsa-miR-3660	0	0.354320441738381	0.614925975211104	1.17173375115797	0.0506223511854742	1.57885479767134	0
hsa-miR-6744-5p	0	0.354320441738381	0	0	0	0	0
hsa-miR-513a-5p	0	0.354320441738381	0	0.527280188021085	0	0	0.144056682270886
hsa-miR-5091	0	0.354320441738381	0.0559023613828276	0	0	0	0
hsa-miR-499b-3p	0	0.354320441738381	0.111804722765655	0	0.151867053556423	0	0
hsa-miR-6892-5p	0	0.354320441738381	0.223609445531311	0	0.303734107112845	0.105256986511422	0.21608502340633
hsa-miR-4723-3p	0	0.354320441738381	0	0.0585866875578983	0	0.105256986511422	0
hsa-miR-892b	0	0.354320441738381	0.279511806914138	0	0	0	0
hsa-miR-6777-3p	0	0.354320441738381	0	0	0.0506223511854742	0	0.288113364541773
hsa-miR-7152-3p	0	0.354320441738381	0	0	0	0	0
hsa-miR-506-5p	0	0.354320441738381	0	0	0.101244702370948	0.42102794604569	0.648255070218989
