	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
trimmed_19101-0045_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826091	705164	668193	1009516	3966163	1777443	1366833	451873	271494	167967	170605	207310	192602	420282	515096	265223	153504	108604	130602	222826	51496	49048	28087	29224	22976	22197	42423	114010	9872	6304	4466	4910	6553	6331	6140	3902	4694	3596	3780	4329	8095	9446	21202	117097	104316	66267	21972	51396	34949	164005	160509	136188	10582	51517	54235	37365	8947	33235	171212
trimmed_19101-0046_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731527	579758	595710	1210573	3928796	1738889	2118344	411904	307844	222311	243468	240272	281325	717404	885091	420709	278380	236314	220643	337337	67379	63810	33273	35775	21886	20404	35026	95403	13070	7875	5179	5272	6922	5767	5407	3872	4705	3520	3514	4074	7114	8747	22430	110434	85539	57260	21886	39042	30602	121946	145962	91025	9671	49219	54912	37876	11133	31921	174098
trimmed_19101-0047_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858322	709150	772940	1367088	4066308	1960781	2250111	432586	327212	255059	286442	260939	320474	863483	1084543	480280	302256	269090	263144	421108	71863	66739	34055	36962	20475	20701	35745	87525	12317	7865	5582	5383	7025	6202	5502	4437	5508	3872	3991	4504	6560	9216	25307	119194	96004	64262	21948	42653	34505	144361	164658	103930	10907	54301	54782	39430	12872	34149	156741
trimmed_19101-0048_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311721	252303	294655	752012	2501268	1020307	1707997	248838	183874	114992	112582	112424	136763	364488	561947	250615	144569	131903	134675	210709	32257	35339	18219	18601	11051	10816	20867	57990	6677	4414	2916	2890	3941	3311	2702	2103	2318	1761	1900	2114	3514	4654	16651	79890	51915	37609	12267	21958	19321	94188	108733	60875	6247	36610	36906	23618	7253	18236	90347
trimmed_19101-0049_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333423	297640	472903	808648	2154362	969188	722771	157942	119608	126167	135978	152716	201368	672477	1013276	425793	247714	194674	128421	159635	45454	47872	26573	25544	17151	18766	33199	81683	11435	5833	4025	4042	5058	4006	3111	2469	2751	2245	2531	2930	5068	6362	19641	90177	78043	59917	22192	38046	30072	110900	138932	70274	11822	52850	51926	40096	16974	32987	154030
trimmed_19101-0050_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606544	517268	736321	1226581	3248311	1538664	1076168	253976	199137	206489	212652	224801	302696	960496	1230585	517437	308716	244657	163663	194203	66069	63442	34102	32051	22109	23616	37504	83749	14282	8167	5703	5843	7014	5843	5267	4310	4662	3989	4506	5405	8875	12102	31026	134039	125341	88583	38154	61348	47580	161509	216607	112113	17814	70400	71999	61425	25183	51484	232394
trimmed_19101-0051_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227467	201313	294786	581177	1664960	724304	566940	114075	87244	95525	101864	115755	146536	505628	673344	301051	188559	153427	95288	116139	32568	32716	19828	18011	12480	12770	21877	60644	8140	4286	2742	2711	3418	2579	2129	1611	1704	1398	1517	1901	3753	4011	13760	59691	45598	30821	13049	22132	16991	69678	86469	43298	6761	35187	35290	25632	8317	17659	85246
trimmed_19101-0052_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308947	313813	491949	1302232	3163653	1204874	897159	165740	124317	124810	132912	143968	174641	500923	898640	385037	239319	178708	91259	80849	39926	41815	25166	24157	19173	30064	85129	147834	14037	6122	3616	3874	5042	3817	3061	2185	2419	2137	2248	2827	4865	6258	17108	78157	71861	55494	22059	35377	28668	95062	94841	53231	11010	47404	43696	35871	14924	31207	140530
trimmed_19101-0053_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200210	179481	264648	892353	2376358	790198	759635	118698	91195	92316	93748	114770	113263	366208	534190	258059	159656	136721	66819	53291	26218	23729	17400	14494	12162	13069	29322	81900	8368	4052	2266	2542	3343	2778	2103	1652	1698	1433	1573	2344	4175	4145	17289	65088	48417	29512	13468	22223	16994	70930	90415	41136	7066	37524	35389	28138	8816	18583	90149
trimmed_19101-0054_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179416	170967	257169	879383	2370177	731509	800396	114821	90441	87995	89060	110752	110239	314735	573280	271949	170836	142329	61643	54368	25868	22422	16758	14192	12530	13501	32213	89473	8873	4057	2394	2758	3584	3042	2551	1901	2074	1800	1878	2942	5510	5430	23435	89679	61111	38122	19005	30409	22825	95229	117136	55547	9899	54898	57405	42961	10746	23043	127144
